Group,Position,Team Name,Country,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Diff,Points
Group A,1,Palmeiras,Brazil,3,1,2,0,4,2,2,5
Group A,2,Inter Miami CF,USA,3,1,2,0,4,3,1,5
Group A,3,FC Porto,Portugal,3,0,2,1,5,6,-1,2
Group A,4,Al Ahly FC,Egypt,3,0,2,1,4,6,-2,2
Group B,1,Paris Saint-Germain,France,3,2,0,1,6,1,5,6
Group B,2,Botafogo,Brazil,3,2,0,1,3,2,1,6
Group B,3,Atlético Madrid,Spain,3,2,0,1,4,5,-1,6
Group B,4,Seattle Sounders FC,USA,3,0,0,3,2,7,-5,0
Group C,1,Benfica,Portugal,3,2,1,0,9,2,7,7
Group C,2,FC Bayern München,Germany,3,2,0,1,12,2,10,6
Group C,3,Boca Juniors,Argentina,3,0,2,1,4,5,-1,2
Group C,4,Auckland City,New Zealand,3,0,1,2,1,17,-16,1
Group D,1,Flamengo,Brazil,3,2,1,0,6,2,4,7
Group D,2,Chelsea,England,3,2,0,1,6,3,3,6
Group D,3,Espérance Tunis,Tunisia,3,1,0,2,1,5,-4,3
Group D,4,Los Angeles FC,USA,3,0,1,2,1,4,-3,1
Group E,1,Inter,Italy,3,2,1,0,5,2,3,7
Group E,2,CF Monterrey,Mexico,3,1,2,0,5,1,4,5
Group E,3,River Plate,Argentina,3,1,1,1,3,3,0,4
Group E,4,Urawa Red Diamonds,Japan,3,0,0,3,2,9,-7,0
Group F,1,Borussia Dortmund,Germany,3,2,1,0,5,3,2,7
Group F,2,Fluminense,Brazil,3,1,2,0,4,2,2,5
Group F,3,Mamelodi Sundowns,South Africa,3,1,1,1,4,4,0,4
Group F,4,Ulsan HD,South Korea,3,0,0,3,2,6,-4,0
Group G,1,Manchester City,England,3,3,0,0,13,2,11,9
Group G,2,Juventus,Italy,3,2,0,1,11,6,5,6
Group G,3,Al-Ain,United Arab Emirates,3,1,0,2,2,12,-10,3
Group G,4,Wydad Casablanca,Morocco,3,0,0,3,2,8,-6,0
Group H,1,Real Madrid,Spain,3,2,1,0,7,2,5,7
Group H,2,Al-Hilal,Saudi Arabia,3,1,2,0,3,1,2,5
Group H,3,Red Bull Salzburg,Austria,3,1,1,1,2,4,-2,4
Group H,4,CF Pachuca,Mexico,3,0,0,3,2,7,-5,0
